English,Sanskrit
I,अहम्
you,त्वम्
he,स
we,वयम्
you,यूयम्
they,ते
this,इदम्
that,तत्
here,अत्र
who,क
what,किम्
where,कुत्र
when,कदा
how,कथम्
not,न
all,सर्व
many,बहु
some,किञ्चिद्
few,अल्प
other,अन्य
big,महत्
long,दीर्घ
wide,उरु
thick,घन
heavy,गुरु
short,ह्रस्व
narrow,अंहु
thin,तनु
child,शिशु
wife,भार्या॑
husband,पति
mother,मातृ
father,पितृ
animal,पशु
fish,मत्स्य
rope,रज्जु
skin,चर्मन्
blood,असृज्
bone,अस्थि
fat,मेदस्
egg,अण्ड
horn,शृङ्ग
tail,पुच्छ
feather,पर्ण
hair,केश
head,शिरस्
ear,कर्ण
eye,अक्षि
nose,नासिक
mouth,मुख
tooth,दत्
tongue,जिह्व
fingernail,नख
foot,पद
knee,जानु
hand,पाणि
wing,पक्ष
belly,उदर
guts,गुद
neck,कण्ठ
back,पृष्ठ
heart,हृदय
liver,यकृत्
sun,सूर्य
moon,चन्द्रमस्
star,नक्षत्र
rain,वर्ष
river,नदी
lake,सरस्
sea,उदधि
salt,लवण
stone,अश्मन्
sand,पांसु
dust,रेणु
earth,क्षम्
cloud, मेघ
fog,मिह्
sky,आकाश
wind,वायु
ice,हिम
smoke,धूम
fire,अग्नि
ash,आस
to burn,दहति
road,अध्वन्
mountain,गिरि
yellow,पीत
white,श्वेत
black,कृष्ण
night,रात्र
day,द्यु
warm,तप्त
cold,शीत
full,पूर्ण
new,नव
old,जीर्ण
good,वसु
bad,पाप
rotten,पूति
dirty,मलिन
straight,ऋजु
round,वर्तुल
sharp,तीक्ष्ण
dull,कुण्ठ
smooth,श्लक्ष्ण
wet,आर्द्र
dry,शुष्क
correct,शुद्ध
far,दूर
right,दक्षिण
